"Year","Player","Snaps","Outside","LWR","RWR","Slot","Backfield","Behind LOS","On LOS"
"2025","Alec Pierce","456","88.4","46.1","42.3","11.2","0.4","15.6","84.4"
"2025","D.J. Moore","463","68.7","34.8","33.9","27.0","4.3","27.6","72.4"
"2025","George Pickens","495","90.1","60.6","29.5","9.9","0.0","14.3","85.7"
"2025","Jalen Nailor","352","44.9","20.7","24.1","50.0","5.1","47.2","52.8"
"2025","Jauan Jennings","440","71.6","38.0","33.6","23.6","4.8","32.0","68.0"
"2025","Jaylen Waddle","386","83.9","48.7","35.2","15.3","0.8","21.5","78.5"
"2025","Michael Pittman","456","64.5","32.2","32.2","31.1","4.4","58.8","41.2"
"2025","Mike Evans","370","80.8","45.1","35.7","19.2","0.0","13.0","87.0"
"2025","Rashid Shaheed","323","69.0","32.2","36.8","28.5","2.5","44.0","56.0"
"2025","Romeo Doubs","434","84.6","45.2","39.4","14.3","1.2","18.2","81.8"
"2025","Wan'Dale Robinson","535","44.7","26.5","18.1","50.5","4.7","76.4","23.6"
