"Year","Player","Targets","Contested targets","Contested Target Rate","Contested Catch Rate"
"2025","George Pickens","77","11","14.3","90.9"
"2025","Jaylen Waddle","54","18","33.3","83.3"
"2025","Jalen Nailor","35","11","31.4","81.8"
"2025","Alec Pierce","56","9","16.1","77.8"
"2025","Jauan Jennings","56","18","32.1","72.2"
"2025","Rashid Shaheed","46","7","15.2","71.4"
"2025","Mike Evans","75","17","22.7","70.6"
"2025","Michael Pittman","57","6","10.5","66.7"
"2025","D.J. Moore","50","11","22.0","63.6"
"2025","Romeo Doubs","58","15","25.9","60.0"
"2025","Wan'Dale Robinson","89","16","18.0","56.3"
