"Year","Player","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"2025","Alec Pierce","253","0.0","11.9","16.6","24.1","6.7","20.9","5.9","9.9","1.6","2.0","0.4"
"2025","D.J. Moore","275","4.7","14.5","6.2","20.7","12.0","14.2","5.1","9.5","4.0","4.7","4.4"
"2025","George Pickens","309","0.3","16.5","14.6","18.8","6.1","24.6","5.5","8.1","3.2","1.0","1.3"
"2025","Jalen Nailor","190","3.7","14.2","7.4","16.3","13.2","11.1","3.2","12.6","3.7","7.4","7.4"
"2025","Jauan Jennings","243","0.0","12.3","8.2","21.8","12.3","9.5","4.5","15.2","4.1","6.6","5.3"
"2025","Jaylen Waddle","195","1.5","19.5","9.2","15.9","9.7","9.7","4.1","17.9","1.5","7.7","3.1"
"2025","Michael Pittman","260","2.7","12.7","17.7","27.7","6.5","11.5","2.7","5.8","3.1","8.8","0.8"
"2025","Mike Evans","224","0.0","17.0","7.1","14.7","4.9","22.8","7.1","16.1","2.7","2.2","5.4"
"2025","Rashid Shaheed","230","2.2","17.4","11.7","10.9","10.0","18.7","4.8","13.0","3.0","4.8","3.5"
"2025","Romeo Doubs","211","0.9","14.7","15.6","26.1","7.1","10.0","3.8","11.8","0.9","5.7","3.3"
"2025","Wan'Dale Robinson","287","6.6","19.5","9.8","13.6","15.0","7.0","5.2","10.5","0.3","9.1","3.5"
