"Year","Player","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"2025","Alec Pierce","253","N/A","76.7","71.4","82.0","76.5","60.4","60.0","72.0","75.0","80.0","0.0"
"2025","D.J. Moore","275","100.0%","80.0","88.2","71.9","72.7","61.5","57.1","65.4","90.9","61.5","75.0"
"2025","George Pickens","309","100.0%","84.3","75.6","77.6","78.9","63.2","58.8","84.0","80.0","100.0","100.0"
"2025","Jalen Nailor","190","100.0%","70.4","64.3","71.0","60.0","57.1","50.0","75.0","71.4","85.7","85.7"
"2025","Jauan Jennings","243","N/A","76.7","80.0","66.0","53.3","39.1","36.4","75.7","60.0","87.5","61.5"
"2025","Jaylen Waddle","195","100.0%","86.8","72.2","83.9","89.5","57.9","62.5","77.1","66.7","66.7","83.3"
"2025","Michael Pittman","260","100.0%","90.9","80.4","80.6","76.5","50.0","42.9","60.0","75.0","87.0","100.0"
"2025","Mike Evans","224","N/A","84.2","75.0","75.8","63.6","62.7","56.3","75.0","66.7","80.0","66.7"
"2025","Rashid Shaheed","230","100.0%","77.5","63.0","72.0","65.2","60.5","72.7","76.7","100.0","90.9","62.5"
"2025","Romeo Doubs","211","100.0%","80.6","69.7","76.4","86.7","47.6","50.0","68.0","100.0","75.0","71.4"
"2025","Wan'Dale Robinson","287","100.0%","78.6","64.3","74.4","72.1","45.0","66.7","66.7","100.0","76.9","80.0"
