"Player","Year","man atts.","Success Rate vs. Man","zone atts.","Success Rate vs. Zone","dbl atts.","Success Rate vs. Double","press atts.","Success Rate vs. Press","Routes","% Press","% Man","% Zone","% Doubled"
"George Pickens","2025","182","75.8","127","74.0","24","62.5","76","78.9","309","24.6","58.9","41.1","7.8"
"Jaylen Waddle","2025","83","73.5","112","81.3","18","55.6","34","76.5","195","17.4","42.6","57.4","9.2"
"Mike Evans","2025","129","71.3","95","71.6","21","61.9","69","76.8","224","30.8","57.6","42.4","9.4"
"Alec Pierce","2025","131","71.0","122","73.0","7","57.1","63","76.2","253","24.9","51.8","48.2","2.8"
"Michael Pittman","2025","96","70.8","164","80.5","3","33.3","21","76.2","260","8.1","36.9","63.1","1.2"
"Romeo Doubs","2025","107","69.2","104","75.0","4","50.0","42","69.0","211","19.9","50.7","49.3","1.9"
"Jalen Nailor","2025","100","68.0","90","73.3","1","100.0","44","65.9","190","23.2","52.6","47.4","0.5"
"Rashid Shaheed","2025","102","67.6","128","75.0","1","0.0","41","70.7","230","17.8","44.3","55.7","0.4"
"Wan'Dale Robinson","2025","128","67.2","159","77.4","5","20.0","34","50.0","287","11.8","44.6","55.4","1.7"
"D.J. Moore","2025","99","66.7","176","76.7","2","100.0","35","65.7","275","12.7","36.0","64.0","0.7"
"Jauan Jennings","2025","123","56.9","120","74.2","4","25.0","48","60.4","243","19.8","50.6","49.4","1.6"
