"Year","Player","In Space Opportunities","% of Catches in space","1st Contact Drop","1 Broken Tackle","2+ Broken Tackle"
"2025","Mike Evans","2","5.9","50.0","50.0","0.0"
"2025","D.J. Moore","14","43.8","57.1","35.7","7.1"
"2025","George Pickens","19","38.0","57.9","31.6","10.5"
"2025","Jaylen Waddle","11","30.6","63.6","9.1","27.3"
"2025","Romeo Doubs","9","23.1","66.7","11.1","22.2"
"2025","Wan'Dale Robinson","28","49.1","67.9","17.9","14.3"
"2025","Michael Pittman","19","45.2","68.4","15.8","15.8"
"2025","Jauan Jennings","13","38.2","69.2","15.4","15.4"
"2025","Rashid Shaheed","10","33.3","70.0","30.0","0.0"
"2025","Alec Pierce","6","25.0","83.3","16.7","0.0"
"2025","Jalen Nailor","6","31.6","83.3","0.0","16.7"
