"Year","Player","Total Routes","Route Target Rate","Route Catch Rate","Targets","Catch Rate","Drop Rate"
"2025","Mike Evans","224","33.5","15.2","75","45.3","4.0"
"2025","Wan'Dale Robinson","287","31.0","19.9","89","64.0","2.2"
"2025","Jaylen Waddle","195","27.7","18.5","54","66.7","1.9"
"2025","Romeo Doubs","211","27.5","18.5","58","67.2","5.2"
"2025","George Pickens","309","24.9","16.2","77","64.9","2.6"
"2025","Jauan Jennings","243","23.0","14.0","56","60.7","5.4"
"2025","Alec Pierce","253","22.1","9.5","56","42.9","3.6"
"2025","Michael Pittman","260","21.9","16.2","57","73.7","3.5"
"2025","Rashid Shaheed","230","20.0","13.0","46","65.2","2.2"
"2025","Jalen Nailor","190","18.4","10.0","35","54.3","2.9"
"2025","D.J. Moore","275","18.2","11.6","50","64.0","4.0"
