"Player","TOT BLK ATT","TOT BLK SUCCESS","TOTAL SUCCESS%","RUN BLK ATT","RUN BLK%","RUN BLK SUCCESS","RUN BLK SUCCESS%","IN-LINE RUN BLK ATT","IN-LINE BLK%","IN-LINE RUN BLK SUCCESS","IN-LINE SUCCESS%","MOVE RUN BLK ATT","MOVE BLK%","MOVE RUN BLK SUCCESS","MOVE SUCCESS%","PASS BLK ATT","PASS BLK%","PASS BLK SUCCESS","PASS SUCCESS%"
"Dae'Quan Wright","162","151","93.2%","143","88.3%","133","93.0%","70","43.2%","67","95.7%","73","45.1%","66","90.4%","19","11.7%","18","94.7%"
"Max Klare","112","104","92.9%","105","93.8%","99","94.3%","35","31.3%","33","94.3%","70","62.5%","66","94.3%","7","6.3%","5","71.4%"
"Eli Raridon","302","268","88.7%","259","85.8%","230","88.8%","164","54.3%","143","87.2%","95","31.5%","87","91.6%","43","14.2%","38","88.4%"
"Kenyon Saddiq","188","165","87.8%","181","96.3%","158","87.3%","76","40.4%","64","84.2%","105","55.9%","94","89.5%","7","3.7%","7","100.0%"
"Sam Roush","50","43","86.0%","44","88.0%","38","86.4%","36","72.0%","30","83.3%","8","16.0%","8","100.0%","6","12.0%","5","83.3%"
"Oscar Delp","212","179","84.4%","171","80.7%","140","81.9%","138","65.1%","109","79.0%","33","15.6%","31","93.9%","41","19.3%","39","95.1%"
"Jack Endries","39","31","79.5%","37","94.9%","30","81.1%","20","51.3%","14","70.0%","17","43.6%","16","94.1%","2","5.1%","1","50.0%"
"Tanner Koziol","75","57","76.0%","70","93.3%","53","75.7%","38","50.7%","25","65.8%","32","42.7%","28","87.5%","5","6.7%","4","80.0%"
"Eli Stowers","95","70","73.7%","90","94.7%","66","73.3%","27","28.4%","21","77.8%","63","66.3%","45","71.4%","5","5.3%","4","80.0%"
"Justin Joly","88","61","69.3%","73","83.0%","50","68.5%","60","68.2%","40","66.7%","13","14.8%","10","76.9%","15","17.1%","11","73.3%"
