"Player","MAN ATT","MAN SUCCESS","MAN%","MAN SUCCESS%","ZONE ATT","ZONE SUCCESS","ZONE%","ZONE SUCCESS%","TAR%","CONTEST ATT","CONTEST SUCEESS","CONTEST%","CONTESTED SUCCESS%","OUTSIDE ATT","OUTSIDE SUCCESS","OUTSIDE%","OUTSIDE SUCCESS%","SLOT ATT","SLOT SUCCESS","SLOT%","SLOT SUCCESS%","EXPLOSIVE","EXPLOSIVE%"
"Dae'Quan Wright","39","22","30.2%","56.4%","87","77","67.4%","88.5%","22.5%","0","0","0.0%","N/A","7","7","5.4%","100.0%","9","7","7.0%","77.8%","9","52.9%"
"Eli Raridon","62","47","40.0%","75.8%","91","81","58.7%","89.0%","23.9%","4","3","10.8%","75.0%","6","5","3.9%","83.3%","1","1","0.7%","100.0%","10","37.0%"
"Eli Stowers","91","67","40.1%","73.6%","133","122","58.6%","91.7%","27.3%","5","2","8.1%","40.0%","12","9","5.3%","75.0%","47","34","20.7%","72.3%","15","34.1%"
"Jack Endries","12","7","20.0%","58.3%","47","42","78.3%","89.4%","18.3%","0","0","0.0%","N/A","5","5","8.3%","100.0%","3","2","5.0%","66.7%","3","33.3%"
"Justin Joly","83","55","43.0%","66.3%","109","100","56.5%","91.7%","24.4%","4","1","8.5%","25.0%","14","13","7.3%","92.9%","1","0","0.5%","0.0%","6","19.4%"
"Kenyon Sadiq","43","27","21.3%","62.8%","152","126","75.3%","82.9%","21.8%","2","2","4.6%","100.0%","23","16","11.4%","69.6%","40","36","19.8%","90.0%","14","38.9%"
"Max Klare","46","34","35.4%","73.9%","80","74","61.5%","92.5%","18.5%","0","0","0.0%","N/A","6","5","4.6%","83.3%","6","5","4.6%","83.3%","7","31.8%"
"Oscar Delp","26","22","28.0%","84.6%","68","60","73.1%","88.2%","17.2%","1","0","6.3%","0.0%","1","1","1.1%","100.0%","1","1","1.1%","100.0%","6","50.0%"
"Sam Roush","7","6","11.7%","85.7%","52","49","86.7%","94.2%","30.0%","1","1","5.6%","100.0%","3","2","5.0%","66.7%","0","0","0.0%","N/A","1","8.3%"
"Tanner Koziol","26","22","53.1%","84.6%","21","21","42.9%","100.0%","34.7%","4","3","23.5%","75.0%","4","4","8.2%","100.0%","0","0","0.0%","N/A","0","0.0%"
