"Player","IN-BREAK%","IN BREAK SUCCESS%","OUT-BREAK%","OUT BREAK SUCCESS%","CHECK%","CHECK SUCCESS%","FLAT%","FLAT SUCCESS%","COMEBACK%","COMEBACK SUCCESS%","OUT%","OUT SUCCESS%","CNR %","CNR SUCCESS%","NINE %","NINE SUCCESS%","POST%","POST SUCCESS%","DIG %","DIG SUCCESS%","CURL %","CURL SUCCESS%","SLANT%","SLANT SUCCESS%","SCREEN%","SCREEN SUCCESS%","OTHER%","OTHER SUCCESS%"
"Dae'Quan Wright","27.9%","80.6%","18.6%","62.5%","10.9%","100.00%","7.0%","88.9%","0.0%","N/A","10.9%","71.4%","7.8%","50.0%","13.2%","76.47%","0.0%","N/A","5.4%","57.1%","16.3%","90.5%","6.2%","75.0%","0.0%","N/A","18.6%","75.0%"
"Eli Raridon","40.7%","81.0%","11.6%","88.9%","7.1%","90.9%","19.4%","80.0%","0.0%","N/A","6.5%","100.0%","5.2%","75.0%","9.0%","78.6%","1.9%","100.0%","17.4%","85.2%","16.1%","88.0%","5.2%","37.5%","1.3%","100.0%","7.7%","91.7%"
"Eli Stowers","48.5%","85.5%","23.8%","81.5%","0.4%","100.0%","4.0%","100.0%","0.0%","N/A","16.7%","79.0%","7.1%","87.5%","7.5%","88.2%","1.8%","25.0%","12.3%","78.6%","25.1%","98.3%","9.3%","71.4%","5.3%","91.7%","9.3%","66.7%"
"Jack Endries","30.0%","77.8%","23.3%","71.4%","11.7%","100.0%","13.3%","100.0%","0.0%","N/A","16.7%","60.0%","6.7%","100.0%","1.7%","100.0%","3.3%","50.0%","16.7%","70.0%","10.0%","100.0%","0.0%","N/A","3.3%","100.0%","11.7%","71.4%"
"Justin Joly","26.4%","80.4%","30.1%","81.0%","3.1%","66.7%","8.8%","82.4%","0.0%","N/A","17.6%","70.6%","12.4%","87.5%","13.5%","73.1%","1.6%","100.0%","10.9%","76.2%","13.0%","76.0%","1.0%","50.0%","2.6%","100.0%","15.0%","93.1%"
"Kenyon Saddiq","42.1%","81.2%","15.4%","67.7%","5.5%","90.9%","8.4%","76.5%","0.0%","N/A","6.9%","64.3%","8.4%","70.6%","7.9%","75.0%","5.5%","81.8%","14.9%","63.3%","18.3%","94.6%","3.5%","85.7%","4.5%","100.0%","10.9%","63.6%"
"Max Klare","32.3%","78.6%","16.9%","68.2%","18.5%","100.0%","12.3%","100.0%","0.8%","0.0%","7.7%","70.0%","8.5%","72.7%","3.1%","50.0%","1.5%","100.0%","11.5%","86.7%","17.7%","78.3%","1.5%","0.0%","0.8%","100.0%","11.5%","93.3%"
"Oscar Delp","35.5%","78.8%","11.8%","90.9%","6.5%","100.0%","17.2%","87.5%","0.0%","N/A","4.3%","75.0%","7.5%","100.0%","15.1%","92.9%","5.4%","80.0%","11.8%","63.6%","16.1%","86.7%","2.2%","100.0%","1.1%","100.0%","14.0%","84.6%"
"Sam Roush","38.3%","91.3%","18.3%","90.9%","15.0%","100.0%","5.0%","100.0%","0.0%","N/A","8.3%","100.0%","10.0%","83.3%","3.3%","100.0%","0.0%","N/A","15.0%","100.0%","23.3%","85.7%","0.0%","N/A","0.0%","N/A","18.3%","90.9%"
"Tanner Koziol","53.1%","100.0%","20.4%","80.0%","4.1%","100.0%","2.0%","100.0%","0.0%","N/A","14.3%","85.7%","6.1%","66.7%","0.0%","N/A","4.1%","100.0%","10.2%","100.0%","22.5%","100.0%","16.3%","100.0%","0.0%","N/A","10.2%","80.0%"
