"Year","Player","Snaps","Outside","LWR","RWR","Slot","Backfield","Behind LOS","On LOS"
"2025","Antonio Williams","461","14.1","8.9","5.2","81.6","4.3","86.1","13.9"
"2025","Brenen Thompson","493","83.8","1.8","81.9","14.6","1.6","41.0","59.0"
"2025","Bryce Lance","358","88.0","45.5","42.5","11.5","0.6","21.2","78.8"
"2025","Carnell Tate","362","85.4","43.1","42.3","11.6","3.0","41.4","58.6"
"2025","Chris Bell","475","81.3","2.3","78.9","17.1","1.7","46.1","53.9"
"2025","Chris Brazzell II","534","95.7","0.2","95.5","4.3","0.0","9.2","90.8"
"2025","Deion Burks","458","73.1","2.6","70.5","24.0","2.8","29.7","70.3"
"2025","Denzel Boston","428","84.3","62.4","22.0","13.6","2.1","23.4","76.6"
"2025","Elijah Sarratt","451","88.2","84.5","3.8","10.6","1.1","29.7","70.3"
"2025","Germie Bernard","492","61.8","31.3","30.5","31.5","6.7","58.1","41.9"
"2025","Jordyn Tyson","525","72.0","34.1","37.9","25.7","2.3","45.7","54.3"
"2025","KC Concepcion","463","65.2","32.0","33.3","29.6","5.2","44.7","55.3"
"2025","Makai Lemon","523","28.1","4.4","23.7","68.5","3.4","43.4","56.6"
"2025","Malachi Fields","476","88.7","45.2","43.5","10.5","0.8","12.8","87.2"
"2025","Omar Cooper Jr.","427","15.9","6.8","9.1","79.6","4.4","73.3","26.7"
"2025","Skyler Bell","485","62.3","32.4","29.9","33.2","4.5","49.7","50.3"
"2025","Ted Hurst*","435","85.7","45.1","40.7","14.0","0.2","16.3","83.7"
"2025","Zachariah Branch","320","21.9","9.1","12.8","69.7","8.4","93.4","6.6"
"2025","De'Zhaun Stribling","437","75.5","58.6","16.9","18.5","5.9","49.4","50.6"
"2025","Eric McAlister*","388","77.6","0.8","76.8","20.9","1.5","28.6","71.4"
"2025","Ja'Kobi Lane","444","86.3","74.8","11.5","12.8","0.9","38.5","61.5"
"2025","Josh Cameron*","468","92.1","0.6","91.5","7.7","0.2","5.8","94.2"
"2025","Kevin Coleman Jr.","395","10.1","3.5","6.6","83.0","6.8","83.5","16.5"
