"Year","Player","Targets","Contested targets","Contested Target Rate","Contested Catch Rate"
"2025","Carnell Tate","46","12","26.1","91.7"
"2025","Skyler Bell","92","10","10.9","90.0"
"2025","Makai Lemon","92","17","18.5","88.2"
"2025","KC Concepcion","68","13","19.1","84.6"
"2025","Bryce Lance","49","11","22.4","81.8"
"2025","Eric McAlister*","61","11","18.0","81.8"
"2025","Antonio Williams","85","10","11.8","80.0"
"2025","Denzel Boston","65","9","13.8","77.8"
"2025","Deion Burks","67","9","13.4","77.8"
"2025","Josh Cameron*","72","13","18.1","76.9"
"2025","Chris Brazzell II","68","15","22.1","73.3"
"2025","Elijah Sarratt","61","18","29.5","72.2"
"2025","Zachariah Branch","63","7","11.1","71.4"
"2025","Malachi Fields","51","14","27.5","71.4"
"2025","Kevin Coleman Jr.","64","7","10.9","71.4"
"2025","Omar Cooper Jr.","58","10","17.2","70.0"
"2025","De'Zhaun Stribling","46","10","21.7","70.0"
"2025","Ja'Kobi Lane","71","22","31.0","68.2"
"2025","Ted Hurst*","85","9","10.6","66.7"
"2025","Brenen Thompson","64","6","9.4","66.7"
"2025","Chris Bell","79","11","13.9","63.6"
"2025","Jordyn Tyson","102","16","15.7","56.3"
"2025","Germie Bernard","70","9","12.9","55.6"
