"Year","Player","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"2025","Antonio Williams","270","9.6","17.4","14.8","13.3","7.8","10.0","3.0","10.0","1.1","10.4","2.6"
"2025","Brenen Thompson","254","0.8","10.6","38.6","11.0","8.7","18.5","3.1","2.4","3.1","1.2","2.0"
"2025","Bryce Lance","186","1.1","15.6","25.3","6.5","8.1","26.3","2.7","6.5","0.5","4.3","3.2"
"2025","Carnell Tate","177","1.1","11.3","24.9","13.0","8.5","19.8","4.0","6.2","5.1","4.0","2.3"
"2025","Chris Bell","249","2.0","29.7","17.7","6.8","8.8","18.1","2.8","6.0","1.2","5.2","1.6"
"2025","Chris Brazzell II","246","3.7","13.4","19.5","17.5","6.9","20.3","1.2","6.1","4.9","2.8","3.7"
"2025","Deion Burks","249","6.8","17.3","22.9","12.0","6.4","18.5","2.4","5.6","1.6","3.2","3.2"
"2025","Denzel Boston","215","3.7","16.7","14.0","13.5","8.8","18.1","1.4","6.5","8.4","4.7","4.2"
"2025","Elijah Sarratt","198","3.0","19.7","16.2","13.6","2.5","21.2","2.5","12.1","0.5","5.6","3.0"
"2025","Germie Bernard","282","6.0","11.3","13.1","19.1","5.0","18.1","4.6","13.1","1.4","5.0","3.2"
"2025","Jordyn Tyson","252","12.3","10.3","7.5","20.6","7.5","15.9","4.0","11.1","1.6","5.2","4.0"
"2025","KC Concepcion","239","5.0","19.7","15.1","21.3","6.3","11.7","2.5","7.1","1.7","5.0","4.6"
"2025","Makai Lemon","276","8.7","15.6","17.4","10.1","8.3","15.2","2.2","9.8","2.9","6.5","3.3"
"2025","Malachi Fields","213","3.3","18.8","26.8","6.6","6.1","25.8","2.8","5.2","0.0","0.9","3.8"
"2025","Omar Cooper Jr.","205","7.8","10.2","9.3","13.7","10.7","14.1","4.4","17.1","0.5","8.8","3.4"
"2025","Skyler Bell","267","9.4","23.6","12.7","10.9","6.4","18.0","1.9","7.9","1.1","7.5","0.7"
"2025","Ted Hurst*","256","2.7","21.9","12.9","14.1","7.8","20.3","2.3","9.4","3.5","2.3","2.7"
"2025","Zachariah Branch","207","28.5","10.1","9.2","11.6","6.8","7.2","1.4","7.7","0.5","14.0","2.9"
"2025","De'Zhaun Stribling","200","2.5","13.0","25.0","15.0","3.0","26.0","1.0","5.5","1.0","6.5","1.5"
"2025","Eric McAlister*","216","4.2","24.1","16.2","15.3","7.9","15.7","0.5","7.4","3.7","1.4","3.7"
"2025","Ja'Kobi Lane","221","3.2","14.0","28.1","12.7","10.4","18.6","2.7","3.6","5.0","0.0","1.8"
"2025","Josh Cameron*","263","4.9","17.1","34.2","13.3","4.9","16.0","1.1","3.8","1.1","1.5","1.9"
"2025","Kevin Coleman Jr.","245","9.0","19.2","9.0","13.5","17.1","9.0","3.7","4.9","0.4","12.7","1.6"
