"Year","Player","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"2025","Antonio Williams","270","100.0%","78.7","80.0","77.8","85.7","48.1","62.5","74.1","100.0","85.7","71.4"
"2025","Brenen Thompson","254","100.0%","70.4","75.5","64.3","81.8","70.2","62.5","83.3","62.5","100.0","100.0"
"2025","Bryce Lance","186","100.0%","79.3","74.5","41.7","73.3","61.2","80.0","83.3","100.0","50.0","100.0"
"2025","Carnell Tate","177","100.0%","70.0","84.1","82.6","80.0","68.6","71.4","72.7","77.8","85.7","50.0"
"2025","Chris Bell","249","100.0%","81.1","70.5","64.7","68.2","64.4","71.4","86.7","100.0","76.9","75.0"
"2025","Chris Brazzell II","246","100.0%","75.8","77.1","81.4","58.8","50.0","66.7","80.0","58.3","71.4","66.7"
"2025","Deion Burks","249","100.0%","88.4","80.7","70.0","87.5","52.2","33.3","78.6","75.0","87.5","100.0"
"2025","Denzel Boston","215","100.0%","80.6","86.7","79.3","63.2","56.4","100.0","57.1","77.8","90.0","100.0"
"2025","Elijah Sarratt","198","83.3%","84.6","68.8","70.4","60.0","40.5","60.0","79.2","0.0","81.8","83.3"
"2025","Germie Bernard","282","100.0%","78.1","70.3","85.2","64.3","51.0","53.8","89.2","100.0","92.9","66.7"
"2025","Jordyn Tyson","252","100.0%","65.4","73.7","78.8","73.7","57.5","60.0","85.7","100.0","84.6","80.0"
"2025","KC Concepcion","239","100.0%","85.1","88.9","80.4","73.3","67.9","66.7","82.4","50.0","83.3","72.7"
"2025","Makai Lemon","276","100.0%","81.4","85.4","75.0","78.3","50.0","66.7","88.9","87.5","88.9","88.9"
"2025","Malachi Fields","213","100.0%","77.5","80.7","64.3","69.2","52.7","66.7","63.6","0.0","50.0","87.5"
"2025","Omar Cooper Jr.","205","100.0%","95.2","63.2","71.4","72.7","65.5","33.3","80.0","100.0","83.3","85.7"
"2025","Skyler Bell","267","100.0%","74.6","82.4","69.0","58.8","56.3","60.0","81.0","66.7","70.0","100.0"
"2025","Ted Hurst*","256","100.0%","83.9","69.7","80.6","80.0","50.0","66.7","79.2","88.9","33.3","42.9"
"2025","Zachariah Branch","207","98.3%","71.4","73.7","83.3","57.1","53.3","33.3","62.5","100.0","79.3","83.3"
"2025","De'Zhaun Stribling","200","100.0%","80.8","76.0","83.3","50.0","55.8","50.0","72.7","50.0","61.5","100.0"
"2025","Eric McAlister*","216","100.0%","76.9","74.3","75.8","82.4","50.0","0.0","50.0","75.0","66.7","87.5"
"2025","Ja'Kobi Lane","221","100.0%","58.1","62.9","71.4","43.5","43.9","50.0","75.0","81.8","0.0","75.0"
"2025","Josh Cameron*","263","92.3%","66.7","63.3","54.3","61.5","45.2","0.0","60.0","100.0","50.0","80.0"
"2025","Kevin Coleman Jr.","245","100.0%","74.5","63.6","69.7","66.7","40.9","66.7","83.3","100.0","87.1","75.0"
