"Year","Player","man atts.","Success Rate vs. Man","zone atts.","Success Rate vs. Zone","dbl atts.","Success Rate vs. Double","press atts.","Success Rate vs. Press","Routes","% Press","% Man","% Zone","% Doubled"
"2025","KC Concepcion","120","78.3","119","83.2","15","80.0","58","77.6","239","24.3","50.2","49.8","6.3"
"2025","Carnell Tate","75","77.3","102","76.5","6","83.3","28","75.0","177","15.8","42.4","57.6","3.4"
"2025","Makai Lemon","118","74.6","158","82.9","19","78.9","40","70.0","276","14.5","42.8","57.2","6.9"
"2025","Zachariah Branch","73","74.0","134","81.3","3","66.7","5","40.0","207","2.4","35.3","64.7","1.4"
"2025","Antonio Williams","116","73.3","154","81.8","4","25.0","27","66.7","270","10.0","43.0","57.0","1.5"
"2025","Denzel Boston","102","72.5","113","78.8","19","57.9","55","72.7","215","25.6","47.4","52.6","8.8"
"2025","Brenen Thompson","103","70.9","151","75.5","2","50.0","37","67.6","254","14.6","40.6","59.4","0.8"
"2025","Omar Cooper Jr.","113","70.8","92","82.6","7","42.9","18","55.6","205","8.8","55.1","44.9","3.4"
"2025","Chris Bell","92","69.6","157","77.1","13","46.2","48","68.8","249","19.3","36.9","63.1","5.2"
"2025","Deion Burks","102","69.6","147","81.6","5","80.0","33","60.6","249","13.3","41.0","59.0","2.0"
"2025","De'Zhaun Stribling","95","68.4","105","73.3","7","57.1","56","67.9","200","28.0","47.5","52.5","3.5"
"2025","Jordyn Tyson","127","67.7","125","85.6","21","71.4","73","60.3","252","29.0","50.4","49.6","8.3"
"2025","Chris Brazzell II","120","67.5","127","73.2","11","45.5","38","60.5","247","15.4","48.6","51.4","4.5"
"2025","Bryce Lance","95","67.4","91","73.6","18","55.6","55","65.5","186","29.6","51.1","48.9","9.7"
"2025","Ted Hurst*","116","67.2","140","75.7","12","58.3","43","72.1","256","16.8","45.3","54.7","4.7"
"2025","Germie Bernard","100","67.0","182","79.7","2","50.0","38","71.1","282","13.5","35.5","64.5","0.7"
"2025","Skyler Bell","109","67.0","158","77.2","16","56.3","35","60.0","267","13.1","40.8","59.2","6.0"
"2025","Kevin Coleman Jr.","76","65.8","169","75.7","4","50.0","9","11.1","245","3.7","31.0","69.0","1.6"
"2025","Eric McAlister*","104","64.4","112","77.7","5","40.0","51","56.9","216","23.6","48.1","51.9","2.3"
"2025","Malachi Fields","137","64.2","76","81.6","12","41.7","86","58.1","213","40.4","64.3","35.7","5.6"
"2025","Elijah Sarratt","132","60.6","66","83.3","5","60.0","65","47.7","198","32.8","66.7","33.3","2.5"
"2025","Josh Cameron*","143","52.4","120","70.8","11","45.5","86","41.9","263","32.7","54.4","45.6","4.2"
"2025","Ja'Kobi Lane","114","50.9","107","70.1","4","50.0","65","43.1","221","29.4","51.6","48.4","1.8"
