"Year","Player","Opportunities","% of Routes","1st Contact Drop","1 Broken Tackle","2+ Broken Tackle"
"2025","Ted Hurst*","25","55.6","28.0","68.0","12.0"
"2025","De'Zhaun Stribling","18","56.3","33.3","50.0","16.7"
"2025","Omar Cooper Jr.","23","53.5","34.8","30.4","34.8"
"2025","Ja'Kobi Lane","11","26.2","36.4","45.5","18.2"
"2025","Germie Bernard","20","48.8","40.0","40.0","20.0"
"2025","Eric McAlister*","25","65.8","40.0","36.0","24.0"
"2025","Malachi Fields","11","37.9","45.5","45.5","9.1"
"2025","Makai Lemon","43","67.2","46.5","39.5","14.0"
"2025","Kevin Coleman Jr.","34","69.4","47.1","35.3","17.6"
"2025","KC Concepcion","19","47.5","47.4","42.1","10.5"
"2025","Josh Cameron*","19","45.2","47.4","31.6","21.1"
"2025","Deion Burks","25","59.5","48.0","40.0","12.0"
"2025","Zachariah Branch","39","68.4","48.7","28.2","23.1"
"2025","Elijah Sarratt","16","36.4","50.0","50.0","0.0"
"2025","Bryce Lance","12","31.6","50.0","41.7","8.3"
"2025","Denzel Boston","17","37.0","52.9","41.2","5.9"
"2025","Chris Brazzell II","14","32.6","57.1","28.6","14.3"
"2025","Brenen Thompson","12","29.3","58.3","41.7","0.0"
"2025","Antonio Williams","37","59.7","59.5","40.5","0.0"
"2025","Chris Bell","27","48.2","70.4","14.8","14.8"
"2025","Skyler Bell","42","68.9","71.4","21.4","7.1"
"2025","Carnell Tate","15","39.5","73.3","20.0","6.7"
"2025","Jordyn Tyson","42","65.6","73.8","21.4","4.8"
