"Year","Player","Total Routes","Route Target Rate","Route Catch Rate","Targets","Catch Rate","Drop Rate"
"2025","Jordyn Tyson","252","40.5","25.4","102","62.7","3.9"
"2025","Skyler Bell","267","34.5","22.8","92","66.3","3.3"
"2025","Makai Lemon","276","33.3","23.2","92","69.6","1.1"
"2025","Ted Hurst*","256","33.2","17.6","85","52.9","8.2"
"2025","Ja'Kobi Lane","221","32.1","19.0","71","59.2","4.2"
"2025","Chris Bell","249","31.7","22.5","79","70.9","5.1"
"2025","Antonio Williams","270","31.5","23.0","85","72.9","5.9"
"2025","Elijah Sarratt","198","30.8","22.2","61","72.1","1.6"
"2025","Zachariah Branch","207","30.4","27.5","63","90.5","0.0"
"2025","Denzel Boston","215","30.2","21.4","65","70.8","1.5"
"2025","KC Concepcion","239","28.5","16.7","68","58.8","7.4"
"2025","Omar Cooper Jr.","205","28.3","21.0","58","74.1","3.4"
"2025","Eric McAlister*","216","28.2","17.6","61","62.3","4.9"
"2025","Chris Brazzell II","246","27.6","17.5","68","63.2","2.9"
"2025","Josh Cameron*","263","27.4","16.0","72","58.3","2.8"
"2025","Deion Burks","249","26.9","16.9","67","62.7","4.5"
"2025","Bryce Lance","186","26.3","20.4","49","77.6","2.0"
"2025","Kevin Coleman Jr.","245","26.1","20.0","64","76.6","1.6"
"2025","Carnell Tate","177","26.0","21.5","46","82.6","0.0"
"2025","Brenen Thompson","254","25.2","16.1","64","64.1","6.3"
"2025","Germie Bernard","282","24.8","14.5","70","58.6","2.9"
"2025","Malachi Fields","213","23.9","13.6","51","56.9","0.0"
"2025","De'Zhaun Stribling","200","23.0","16.0","46","69.6","2.2"
